"","births","species"
"1",0,7
"2",1,31064
"3",2,6087
"4",3,2655
"5",4,1552
"6",5,1008
"7",6,731
"8",7,544
"9",8,442
"10",9,353
"11",10,287
"12",11,253
"13",12,226
"14",13,196
"15",14,181
"16",15,141
"17",16,145
"18",17,129
"19",18,113
"20",19,123
"21",20,98
"22",21,92
"23",22,88
"24",23,86
"25",24,69
"26",25,69
"27",26,76
"28",27,58
"29",28,48
"30",29,52
"31",30,56
"32",31,51
"33",32,44
"34",33,52
"35",34,39
"36",35,29
"37",36,45
"38",37,40
"39",38,36
"40",39,41
"41",40,30
"42",41,32
"43",42,28
"44",43,34
"45",44,34
"46",45,28
"47",46,25
"48",47,24
"49",48,26
"50",49,30
"51",50,10
"52",51,21
"53",52,20
"54",53,19
"55",54,17
"56",55,18
"57",56,22
"58",57,25
"59",58,32
"60",59,16
"61",60,21
"62",61,15
"63",62,19
"64",63,17
"65",64,20
"66",65,7
"67",66,19
"68",67,22
"69",68,16
"70",69,15
"71",70,15
"72",71,10
"73",72,16
"74",73,12
"75",74,10
"76",75,6
"77",76,13
"78",77,11
"79",78,14
"80",79,10
"81",80,14
"82",81,15
"83",82,14
"84",83,11
"85",84,9
"86",85,8
"87",86,14
"88",87,11
"89",88,15
"90",89,10
"91",90,9
"92",91,13
"93",92,11
"94",93,5
"95",94,12
"96",95,8
"97",96,6
"98",97,11
"99",98,7
"100",99,7
"101",100,14
"102",101,5
"103",102,9
"104",103,7
"105",104,7
"106",105,7
"107",106,12
"108",107,8
"109",108,7
"110",109,10
"111",110,4
"112",111,13
"113",112,5
"114",113,9
"115",114,13
"116",115,5
"117",116,6
"118",117,2
"119",118,8
"120",119,8
"121",120,11
"122",121,6
"123",122,2
"124",123,6
"125",124,2
"126",125,4
"127",126,11
"128",127,5
"129",128,4
"130",129,6
"131",130,5
"132",131,6
"133",132,6
"134",133,3
"135",134,3
"136",135,4
"137",136,1
"138",137,5
"139",138,3
"140",139,4
"141",140,4
"142",141,4
"143",142,5
"144",143,5
"145",144,2
"146",145,2
"147",146,6
"148",147,5
"149",148,3
"150",149,6
"151",150,6
"152",151,2
"153",152,3
"154",153,6
"155",154,6
"156",155,6
"157",156,2
"158",157,6
"159",158,2
"160",159,10
"161",160,6
"162",161,2
"163",162,3
"164",163,1
"165",164,2
"166",165,3
"167",166,8
"168",167,1
"169",168,4
"170",169,3
"171",170,3
"172",171,1
"173",172,6
"174",173,2
"175",174,2
"176",176,6
"177",177,6
"178",178,5
"179",180,5
"180",182,3
"181",183,4
"182",184,2
"183",185,3
"184",186,1
"185",187,4
"186",188,2
"187",190,4
"188",191,7
"189",192,1
"190",193,1
"191",194,2
"192",195,6
"193",196,1
"194",197,2
"195",198,1
"196",199,2
"197",200,2
"198",201,4
"199",202,3
"200",203,2
"201",204,3
"202",205,1
"203",206,2
"204",207,4
"205",208,3
"206",209,3
"207",210,2
"208",211,2
"209",212,2
"210",213,1
"211",214,2
"212",215,2
"213",216,1
"214",217,3
"215",218,5
"216",219,2
"217",220,1
"218",221,2
"219",222,2
"220",223,1
"221",224,1
"222",225,2
"223",226,1
"224",227,3
"225",228,3
"226",229,1
"227",230,2
"228",231,1
"229",232,3
"230",233,2
"231",234,7
"232",235,1
"233",236,3
"234",237,3
"235",238,2
"236",239,1
"237",240,2
"238",241,2
"239",242,2
"240",243,2
"241",244,1
"242",245,2
"243",246,3
"244",247,2
"245",248,4
"246",249,5
"247",254,1
"248",255,1
"249",256,1
"250",257,2
"251",259,2
"252",260,1
"253",262,1
"254",264,3
"255",265,1
"256",266,4
"257",267,1
"258",269,2
"259",270,2
"260",271,1
"261",272,1
"262",274,2
"263",276,3
"264",277,1
"265",278,1
"266",281,2
"267",283,1
"268",286,2
"269",288,2
"270",289,1
"271",290,1
"272",291,2
"273",292,2
"274",293,2
"275",294,3
"276",295,2
"277",297,5
"278",298,2
"279",300,1
"280",301,4
"281",302,2
"282",303,2
"283",306,1
"284",308,3
"285",309,3
"286",310,1
"287",312,2
"288",313,1
"289",314,1
"290",315,4
"291",316,3
"292",317,3
"293",318,1
"294",320,3
"295",321,2
"296",322,3
"297",323,2
"298",324,1
"299",326,1
"300",327,5
"301",330,2
"302",331,2
"303",333,1
"304",334,4
"305",335,1
"306",336,3
"307",337,2
"308",338,3
"309",340,2
"310",341,2
"311",342,1
"312",343,1
"313",344,2
"314",348,1
"315",349,1
"316",352,2
"317",353,6
"318",355,1
"319",356,3
"320",358,2
"321",359,1
"322",360,2
"323",361,1
"324",365,3
"325",366,1
"326",368,2
"327",371,1
"328",372,3
"329",373,1
"330",374,1
"331",375,2
"332",376,3
"333",377,2
"334",378,2
"335",379,4
"336",380,1
"337",381,2
"338",382,1
"339",383,1
"340",384,2
"341",387,2
